   x   y
 503 444
 507 415
 505 392
 529 361
 425 359
 455 350
 507 338
 397 332
 395 324
 449 302
 450 295
 503 312
 507 285
 323 271
 423 265
 490 249
 392 244
 321 243
 357 242
 472 240
 480 239
 357 235
 440 216
 317 213
 529 213
 522 210
 392 203
 426 203
 353 186
 323 183
 509 180
 392 163
 424 163
 295 156
 383 154
 488 150
 421 143
 420 133
 250 133
 254 127
 404 122
 480 119
 313 118
 514 111
 355 109
 364 102
 402 102
 394  99
 389  94
 367  92
 294  90
 492  82
 456  74
 232  63
 235  57
 302  55
 491  54
 522  52
 262  49
 447  44
 384  43
 480  43
 337  40
 479  36
 411  35
 485  32
 222  29
 525  28
 193  27
 515  22
 248  16
 447  15
 449 537
 458 536
 384 534
 468 532
 384 527
 388 519
  21 514
 387 512
 432 505
 331 501
 384 500
 413 499
 400 496
 428 496
  88 496
 382 493
 408 491
 128 490
 415 488
 364 484
 354 482
 384 482
  76 482
 375 481
 368 477
  75 475
 355 474
 366 471
  84 462
 211 460
 256 449
 215 430
 118 423
  66 421
 111 419
 143 418
 160 413
 164 409
 169 404
 135 404
 344 399
 147 399
 395 397
 338 392
 168 389
  34 387
 321 387
 334 385
 325 384
 120 381
 339 379
 127 378
 323 378
 152 376
 118 376
 134 375
 125 372
 257 369
 291 354
 107 340
 150 335
 287 328
 111 326
 281 324
 100 320
  96 309
 218 302
 257 279
 220 248
 126 244
 101 243
 222 243
 233 243
 119 240
 236 237
 131 235
 207 232
 128 229
 200 228
 232 225
 207 223
 220 217
 231 215
 179 203
 185 199
 181 194
 171 189
 176 180
 158 179
 164 176
 171 174
  46 166
  43 160
  50 158
  62 147
  63 139
  51 130
  54 123
  48 119
  47 114
 134 111
  32 110
  24 109
  41 109
 152 107
 132 104
  30 102
 145  98
 136  96
 125  87
  68  74
 128  66
 116  66
 125  60
  55  54
 112  52
 124  50
  55  48
  87  41
  94  41
  68  40
  75  36
 103  36
