   x    y    r
 2.4  1.4 0.21
 1.9  3.3 0.25
 0.7 14.4 0.28
 2.1 17.2 0.23
 2.5 25.1 0.25
 3.4 26.5 0.22
 3.3 28.9 0.23
 4.8 29.5 0.26
 6.6 33.4 0.22
 7.5 26.5 0.28
 4.6 20.1 0.35
 4.5 12.8 0.34
 7.2  7.2 0.33
 9.6  2.4 0.21
10.6  7.7 0.20
 7.5 12.9 0.23
11.2 13.3 0.32
 8.5 19.6 0.24
11.1 19.9 0.37
 8.8 28.8 0.34
10.2 30.9 0.24
 9.7 35.5 0.33
13.0 35.5 0.22
13.6 30.4 0.23
13.1 25.9 0.18
12.3 24.9 0.35
13.4 22.3 0.18
14.2 18.2 0.26
12.3 16.7 0.17
12.9  9.2 0.25
12.3  2.4 0.23
15.0  3.9 0.35
16.4 12.7 0.26
17.6 19.6 0.21
17.1 23.8 0.22
17.7 27.7 0.26
17.1 31.7 0.22
14.7 33.2 0.28
17.3 36.4 0.19
18.8 34.5 0.27
19.5 30.5 0.28
19.3 18.0 0.26
18.7 15.8 0.22
20.2 12.9 0.17
18.5  9.5 0.25
18.0  4.1 0.20
20.8  3.5 0.22
20.5  8.1 0.23
23.4 12.9 0.33
21.3 20.1 0.22
22.6 34.5 0.29
26.4 36.4 0.25
24.6 29.5 0.35
25.4 27.9 0.25
24.9 23.5 0.25
24.8 19.6 0.27
24.4 16.9 0.25
26.1 13.1 0.24
25.5  9.4 0.28
33.3  6.4 0.26
25.8  3.3 0.21
23.6  1.3 0.18
27.0  7.0 0.33
29.3 17.3 0.23
27.8 31.4 0.28
29.1 30.5 0.36
30.5 28.4 0.22
31.4  9.4 0.21
29.9  6.9 0.25
30.3  1.2 0.27
33.0  5.4 0.18
32.9 10.9 0.18
33.1 16.4 0.26
33.1 18.6 0.23
33.1 29.8 0.28
34.4 34.5 0.33
33.4 36.4 0.28
38.6 36.6 0.37
37.0 29.4 0.34
34.2 23.4 0.25
37.4 24.1 0.27
35.8 19.8 0.19
35.2 14.4 0.18
35.6  9.3 0.24
36.2  7.3 0.25
36.9  5.3 0.27
40.2  1.4 0.26
39.8  5.4 0.21
39.9  7.4 0.20
37.7 15.8 0.25
40.0 19.7 0.20
39.4 26.6 0.26
40.7 30.6 0.24
41.4 35.8 0.27
41.1 24.9 0.23
41.8 18.5 0.23
42.4 17.1 0.24
41.0  8.8 0.21
42.7  4.2 0.31
44.3  1.3 0.23
44.8  8.4 0.23
43.5 11.6 0.21
45.0 13.0 0.31
44.0 18.7 0.31
44.0 25.3 0.19
44.7 32.7 0.26
44.3 35.9 0.24
49.2 34.6 0.25
47.7 29.0 0.16
45.5 26.4 0.24
47.9 25.2 0.22
45.7 23.7 0.19
47.7 13.4 0.25
47.0  8.3 0.24
46.6  5.4 0.32
45.8  1.6 0.24
49.4  8.1 0.21
51.4 13.6 0.26
50.0 18.6 0.23
50.6 19.9 0.26
51.3 26.5 0.25
51.6 36.4 0.20
53.7 35.9 0.34
53.8 30.6 0.27
52.6 28.0 0.21
55.0 26.8 0.20
53.9 22.6 0.24
53.7 19.9 0.21
54.6 17.9 0.28
52.8 12.0 0.25
53.4 10.3 0.23
52.8  8.1 0.23
53.2  5.6 0.24
52.5  1.6 0.27








